time,open,high,low,close,volumeto,coin
2024-02-24,50744.07,51687.88,50583.66,51574.61,548313000.54,btc
2024-02-25,51574.61,51957.87,51288.57,51727.63,640224439.02,btc
2024-02-26,51727.63,54939.87,50920.53,54518.58,2550669499.35,btc
2024-02-27,54518.58,57612.94,54483.19,57071.6,3546751167.69,btc
2024-02-28,57071.6,64086.08,56726.31,62507.1,6171823618.31,btc
2024-02-29,62507.1,63652.76,60370.98,61179.58,5259277822.5,btc
2024-03-01,61179.58,63226.77,60795.21,62431.25,3267402863.37,btc
2024-03-02,62431.25,62479.07,61631.05,62038.39,1257238241.46,btc
2024-03-03,62038.39,63254.84,61392.4,63149.43,1265273119.48,btc
2024-03-04,63149.43,68562.03,62363.97,68338.64,5220774005.79,btc
2024-03-05,68338.64,69244.55,59268.68,63804.11,8263897912.84,btc
2024-03-06,63804.11,67645.97,62851.27,66115.57,4498440968.53,btc
2024-03-07,66115.57,68065.89,65610.94,66928.15,2804368120.13,btc
2024-03-08,66928.15,70151.23,66173.73,68269.39,4046244830.74,btc
2024-03-09,68269.39,68663.92,68026.81,68446.32,1158711168.05,btc
2024-03-10,68446.32,69976.84,68218.19,69023.53,1919585405.6,btc
2024-03-11,69023.53,72872.77,67170.42,72095.86,4476609937.75,btc
2024-03-12,72095.86,72996.99,68636.43,71449.5,4173072731.62,btc
2024-03-13,71449.5,73672.14,71329.7,73118.09,3008299520.61,btc
2024-03-14,73118.09,73802.64,68493.91,71366.96,4325873413.25,btc
2024-03-15,71366.96,72394.97,65579.78,69497.39,5016358153.02,btc
2024-03-16,69497.39,70043.23,64783.87,65260.55,2295869354.32,btc
2024-03-17,65260.55,68873.88,64529.3,68364.45,1962751757.05,btc
2024-03-18,68364.45,68925.18,66584.49,67609.44,2602930945.01,btc
2024-03-19,67609.44,68116.53,61529.15,61924.02,4863914201.82,btc
2024-03-20,61924.02,68139.33,60782.8,67857.3,4466872469.25,btc
2024-03-21,67857.3,68229.38,64548.09,65493.22,2542747734.72,btc
2024-03-22,65493.22,66643.64,62321.3,63816.99,2395884490.04,btc
2024-03-23,63816.99,66005.71,63025.99,64004.42,1250716141.79,btc
2024-03-24,64004.42,67623.78,63802.82,67208.33,1253420264.9,btc
2024-03-25,67208.33,71202.65,66400.46,69892.26,3184570068.52,btc
2024-03-26,69892.26,71558.85,69294.69,69990.22,2319265484.04,btc
2024-03-27,69990.22,71762.06,68384.71,69434.46,2817965870.72,btc
2024-03-28,69434.46,71593.93,68864.89,70789.57,2214217706.88,btc
2024-03-29,70789.57,70925.04,69059.03,69903.72,1216001428.98,btc
2024-03-30,69903.72,70356.07,69586.01,69629.99,515940317.66,btc
2024-03-31,69629.99,71389.78,69601.39,71312.91,745658086.55,btc
2024-01-01,2281.87,2352.37,2265.24,2352.04,216702.6914,eth
2024-01-02,2352.05,2431.3,2341.0,2355.34,458041.6642,eth
2024-01-03,2355.35,2385.45,2100.0,2209.72,798729.4869,eth
2024-01-04,2209.72,2294.69,2201.91,2267.11,448844.055,eth
2024-01-05,2267.11,2277.21,2206.17,2268.78,405568.0006,eth
2024-01-06,2268.78,2270.0,2216.4,2240.78,194067.8656,eth
2024-01-07,2240.77,2258.01,2203.46,2221.42,207138.6927,eth
2024-01-08,2221.42,2358.2,2166.38,2330.44,539407.5547,eth
2024-01-09,2330.43,2371.72,2226.78,2344.29,551454.9931,eth
2024-01-10,2344.3,2643.1,2339.59,2584.38,1038388.666,eth
2024-01-11,2584.37,2689.39,2566.01,2618.01,838712.2577,eth
2024-01-12,2618.01,2717.32,2458.0,2522.54,887457.7627,eth
2024-01-13,2522.55,2590.0,2497.5,2578.19,422061.232,eth
2024-01-14,2578.18,2578.69,2470.0,2472.87,306207.7463,eth
2024-01-15,2472.87,2553.82,2470.92,2511.78,315247.8819,eth
2024-01-16,2511.79,2614.43,2500.05,2587.4,381077.6247,eth
2024-01-17,2587.41,2592.97,2506.75,2530.19,366281.3477,eth
2024-01-18,2530.2,2550.0,2428.56,2470.81,452090.1074,eth
2024-01-19,2470.81,2504.2,2415.2,2492.0,424209.0029,eth
2024-01-20,2491.99,2492.0,2454.2,2472.01,136620.9577,eth
